2022-08-25 19:52:35,040 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2022-08-25 19:52:35,524 | INFO  | Recovering from the journal @1:503 | org.apache.activemq.store.kahadb.MessageDatabase | main
2022-08-25 19:52:35,556 | INFO  | Recovery replayed 23 operations from the journal in 0.203 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2022-08-25 19:52:35,728 | INFO  | PListStore:[E:\Program Files (x86)\Websense\Data Security\MessageBroker\service-config\..\data\dss.batch.broker.primary\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2022-08-25 19:52:35,931 | INFO  | Scheduler Store version 1 loaded | org.apache.activemq.store.kahadb.scheduler.JobSchedulerKahaDBMetaData | main
2022-08-25 19:52:36,071 | INFO  | Recovering from the scheduled job journal @1:28 | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2022-08-25 19:52:36,368 | INFO  | Recovery replayed 1 operations from the journal in 0.297 seconds. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2022-08-25 19:52:36,509 | INFO  | JobSchedulerStore: E:\Program Files (x86)\Websense\Data Security\MessageBroker\service-config\..\data\dss.batch.broker.primary\scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2022-08-25 19:52:36,712 | INFO  | Installing StaticsBroker | org.apache.activemq.plugin.StatisticsBrokerPlugin | main
2022-08-25 19:52:36,712 | INFO  | Installing Discarding Dead Letter Queue broker plugin[dropAll=true; dropTemporaryTopics=true; dropTemporaryQueues=true; dropOnly=null; reportInterval=1000] | org.apache.activemq.plugin.DiscardingDLQBrokerPlugin | main
2022-08-25 19:52:36,978 | INFO  | Apache ActiveMQ 5.14.4 (dss.batch.broker.primary, ID:NCI-IT-P-DLP-FS-60392-1661437355962-1:1) is starting | org.apache.activemq.broker.BrokerService | main
2022-08-25 19:52:36,993 | INFO  | Starting StatisticsBroker | org.apache.activemq.plugin.StatisticsBroker | main
2022-08-25 19:52:37,009 | INFO  | Broker Plugin org.apache.activemq.broker.util.RedeliveryPlugin started | org.apache.activemq.broker.BrokerPluginSupport | main
2022-08-25 19:52:38,993 | INFO  | Listening for connections at: stomp+ssl://NCI-IT-P-DLP-FS:17513?maximumConnections=10&wireFormat.maxFrameSize=104857600&needClientAuth=true&transport.enabledCipherSuites=TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384&transport.enabledProtocols=TLSv1.2 | org.apache.activemq.transport.TransportServerThreadSupport | main
2022-08-25 19:52:39,118 | INFO  | Connector stomp+ssl started | org.apache.activemq.broker.TransportConnector | main
2022-08-25 19:52:39,181 | INFO  | Listening for connections at: ssl://127.0.0.1:17446?maximumConnections=500&wireFormat.maxFrameSize=104857600&needClientAuth=true&transport.enabledCipherSuites=TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384&transport.enabledProtocols=TLSv1.2 | org.apache.activemq.transport.TransportServerThreadSupport | main
2022-08-25 19:52:39,306 | INFO  | Connector sslAuth started | org.apache.activemq.broker.TransportConnector | main
2022-08-25 19:52:39,431 | INFO  | Apache ActiveMQ 5.14.4 (dss.batch.broker.primary, ID:NCI-IT-P-DLP-FS-60392-1661437355962-1:1) started | org.apache.activemq.broker.BrokerService | main
2022-08-25 19:52:39,618 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2022-08-25 19:52:45,259 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2022-08-25 19:52:46,915 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2022-08-26 10:43:32,096 | INFO  | Apache ActiveMQ 5.14.4 (dss.batch.broker.primary, ID:NCI-IT-P-DLP-FS-60392-1661437355962-1:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2022-08-26 10:43:32,096 | INFO  | socketQueue interrupted - stopping | org.apache.activemq.transport.tcp.TcpTransportServer | ActiveMQ Transport Server Thread Handler: stomp+ssl://0.0.0.0:17513?maximumConnections=10&wireFormat.maxFrameSize=104857600&needClientAuth=true&transport.enabledCipherSuites=TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384&transport.enabledProtocols=TLSv1.2
2022-08-26 10:43:32,096 | INFO  | Connector stomp+ssl stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2022-08-26 10:43:32,096 | INFO  | Could not accept connection during shutdown  : java.lang.InterruptedException | org.apache.activemq.broker.TransportConnector | ActiveMQ Transport Server Thread Handler: stomp+ssl://0.0.0.0:17513?maximumConnections=10&wireFormat.maxFrameSize=104857600&needClientAuth=true&transport.enabledCipherSuites=TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384&transport.enabledProtocols=TLSv1.2
2022-08-26 10:43:32,096 | INFO  | Connector sslAuth stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2022-08-26 10:43:32,252 | INFO  | JobSchedulerStore: E:\Program Files (x86)\Websense\Data Security\MessageBroker\service-config\..\data\dss.batch.broker.primary\scheduler stopped. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | ActiveMQ ShutdownHook
2022-08-26 10:43:32,252 | INFO  | Broker Plugin org.apache.activemq.broker.util.RedeliveryPlugin stopped | org.apache.activemq.broker.BrokerPluginSupport | ActiveMQ ShutdownHook
2022-08-26 10:43:32,268 | INFO  | PListStore:[E:\Program Files (x86)\Websense\Data Security\MessageBroker\service-config\..\data\dss.batch.broker.primary\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2022-08-26 10:43:32,268 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2022-08-26 10:43:32,268 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2022-08-26 10:43:32,268 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2022-08-26 10:43:32,284 | INFO  | Apache ActiveMQ 5.14.4 (dss.batch.broker.primary, ID:NCI-IT-P-DLP-FS-60392-1661437355962-1:1) uptime 14 hours 50 minutes | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2022-08-26 10:43:32,284 | INFO  | Apache ActiveMQ 5.14.4 (dss.batch.broker.primary, ID:NCI-IT-P-DLP-FS-60392-1661437355962-1:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2022-08-26 10:43:32,284 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@6a5fc7f7: startup date [Thu Aug 25 19:52:31 IST 2022]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
2022-08-26 10:43:57,047 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6a5fc7f7: startup date [Fri Aug 26 10:43:57 IST 2022]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2022-08-26 10:43:58,867 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[E:\Program Files (x86)\Websense\Data Security\MessageBroker\service-config\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2022-08-26 10:43:59,133 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2022-08-26 10:43:59,398 | INFO  | Recovering from the journal @1:7884034 | org.apache.activemq.store.kahadb.MessageDatabase | main
2022-08-26 10:43:59,429 | INFO  | Recovery replayed 163 operations from the journal in 0.125 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2022-08-26 10:43:59,586 | INFO  | PListStore:[E:\Program Files (x86)\Websense\Data Security\MessageBroker\service-config\..\data\dss.batch.broker.primary\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2022-08-26 10:43:59,679 | INFO  | Scheduler Store version 1 loaded | org.apache.activemq.store.kahadb.scheduler.JobSchedulerKahaDBMetaData | main
2022-08-26 10:43:59,976 | INFO  | Recovering from the scheduled job journal @1:100 | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2022-08-26 10:44:00,117 | INFO  | Recovery replayed 1 operations from the journal in 0.141 seconds. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2022-08-26 10:44:00,539 | INFO  | JobSchedulerStore: E:\Program Files (x86)\Websense\Data Security\MessageBroker\service-config\..\data\dss.batch.broker.primary\scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2022-08-26 10:44:00,820 | INFO  | Installing StaticsBroker | org.apache.activemq.plugin.StatisticsBrokerPlugin | main
2022-08-26 10:44:00,820 | INFO  | Installing Discarding Dead Letter Queue broker plugin[dropAll=true; dropTemporaryTopics=true; dropTemporaryQueues=true; dropOnly=null; reportInterval=1000] | org.apache.activemq.plugin.DiscardingDLQBrokerPlugin | main
2022-08-26 10:44:01,211 | INFO  | Apache ActiveMQ 5.14.4 (dss.batch.broker.primary, ID:NCI-IT-P-DLP-FS-52394-1661490839773-1:1) is starting | org.apache.activemq.broker.BrokerService | main
2022-08-26 10:44:01,258 | INFO  | Starting StatisticsBroker | org.apache.activemq.plugin.StatisticsBroker | main
2022-08-26 10:44:01,273 | INFO  | Broker Plugin org.apache.activemq.broker.util.RedeliveryPlugin started | org.apache.activemq.broker.BrokerPluginSupport | main
2022-08-26 10:44:04,737 | INFO  | Listening for connections at: stomp+ssl://NCI-IT-P-DLP-FS:17513?maximumConnections=10&wireFormat.maxFrameSize=104857600&needClientAuth=true&transport.enabledCipherSuites=TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384&transport.enabledProtocols=TLSv1.2 | org.apache.activemq.transport.TransportServerThreadSupport | main
2022-08-26 10:44:04,768 | INFO  | Connector stomp+ssl started | org.apache.activemq.broker.TransportConnector | main
